amphoe,changwat
แวงน้อย,ขอนแก่น
แวงใหญ่,ขอนแก่น
เวียงเก่า,ขอนแก่น
อ่าวลึก,กระบี่
เขาพนม,กระบี่
คลองท่อม,กระบี่
เกาะลันตา,กระบี่
ลำทับ,กระบี่
เมืองกระบี่,กระบี่
เหนือคลอง,กระบี่
ปลายพระยา,กระบี่
แจ้ห่ม,ลำปาง
ห้างฉัตร,ลำปาง
เกาะคา,ลำปาง
แม่เมาะ,ลำปาง
แม่ริม,ลำปาง
แม่ทะ,ลำปาง
เมืองลำปาง,ลำปาง
เมืองปาน,ลำปาง
งาว,ลำปาง
เสริมงาม,ลำปาง
สบปราบ,ลำปาง
เถิน,ลำปาง
วังเหนือ,ลำปาง
บ้านโฮ่ง,ลำพูน
บ้านธิ,ลำพูน
ลี้,ลำพูน
แม่ทา,ลำพูน
เมืองลำพูน,ลำพูน
ป่าซาง,ลำพูน
ทุ่งหัวช้าง,ลำพูน
เวียงหนองล่อง,ลำพูน
เชียงคาน,เลย
ด่านซ้าย,เลย
เอราวัณ,เลย
เมืองเลย,เลย
นาด้วง,เลย
นาแห้ว,เลย
หนองหิน,เลย
ปากชม,เลย
ผาขาว,เลย
ภูกระดึง,เลย
ภูหลวง,เลย
ภูเรือ,เลย
ท่าลี่,เลย
วังสะพุง,เลย
บ้านหมี่,ลพบุรี
ชัยบาดาล,ลพบุรี
โคกเจริญ,ลพบุรี
โคกสำโรง,ลพบุรี
ลำสนธิ,ลพบุรี
เมืองลพบุรี,ลพบุรี
หนองม่วง,ลพบุรี
พัฒนานิคม,ลพบุรี
สระโบสถ์,ลพบุรี
ท่าหลวง,ลพบุรี
ท่าวุ้ง,ลพบุรี
ขุนยวม,แม่ฮ่องสอน
แม่ลาน้อย,แม่ฮ่องสอน
แม่สะเรียง,แม่ฮ่องสอน
เมืองแม่ฮ่องสอน,แม่ฮ่องสอน
ปาย,แม่ฮ่องสอน
ปางมะผ้า,แม่ฮ่องสอน
สบเมย,แม่ฮ่องสอน
บรบือ,มหาสารคาม
เชียงยืน,มหาสารคาม
ชื่นชม,มหาสารคาม
แกดำ,มหาสารคาม
กันทรวิชัย,มหาสารคาม
โกสุมพิสัย,มหาสารคาม
กุดรัง,มหาสารคาม
เมืองมหาสารคาม,มหาสารคาม
นาเชือก,มหาสารคาม
นาดูน,มหาสารคาม
พยัคฆภูมิพิสัย,มหาสารคาม
วาปีปทุม,มหาสารคาม
ยางสีสุราช,มหาสารคาม
ดอนตาล,มุกดาหาร
ดงหลวง,มุกดาหาร
คำชะอี,มุกดาหาร
เมืองมุกดาหาร,มุกดาหาร
นิคมคำสร้อย,มุกดาหาร
หนองสูง,มุกดาหาร
หว้านใหญ่,มุกดาหาร
บ้านนา,นครนายก
เมืองนครนายก,นครนายก
องครักษ์,นครนายก
ปากพลี,นครนายก
บางเลน,นครปฐม
ดอนตูม,นครปฐม
กำแพงแสน,นครปฐม
เมืองนครปฐม,นครปฐม
นครชัยศรี,นครปฐม
พุทธมณฑล,นครปฐม
สามพราน,นครปฐม
บ้านแพง,นครพนม
เมืองนครพนม,นครพนม
นาแก,นครพนม
นาทม,นครพนม
นาหว้า,นครพนม
โพนสวรรค์,นครพนม
ปลาปาก,นครพนม
เรณูนคร,นครพนม
ศรีสงคราม,นครพนม
ท่าอุเทน,นครพนม
ธาตุพนม,นครพนม
วังยาง,นครพนม
บ้านเหลื่อม,นครราชสีมา
บัวลาย,นครราชสีมา
บัวใหญ่,นครราชสีมา
เฉลิมพระเกียรติ,นครราชสีมา
จักราช,นครราชสีมา
โชคชัย,นครราชสีมา
ชุมพวง,นครราชสีมา
ด่านขุนทด,นครราชสีมา
ห้วยแถลง,นครราชสีมา
แก้งสนามนาง,นครราชสีมา
ขามสะแกแสง,นครราชสีมา
ขามทะเลสอ,นครราชสีมา
ครบุรี,นครราชสีมา
คง,นครราชสีมา
ลำทะเมนชัย,นครราชสีมา
เมืองนครราชสีมา,นครราชสีมา
เมืองยาง,นครราชสีมา
โนนแดง,นครราชสีมา
โนนสูง,นครราชสีมา
โนนไทย,นครราชสีมา
หนองบุญมาก,นครราชสีมา
ปากช่อง,นครราชสีมา
ปักธงชัย,นครราชสีมา
พิมาย,นครราชสีมา
พระทองคำ,นครราชสีมา
ประทาย,นครราชสีมา
สีดา,นครราชสีมา
สีคิ้ว,นครราชสีมา
เสิงสาง,นครราชสีมา
สูงเนิน,นครราชสีมา
เทพารักษ์,นครราชสีมา
วังน้ำเขียว,นครราชสีมา
บรรพตพิสัย,นครสวรรค์
ชุมแสง,นครสวรรค์
ชุมตาบง,นครสวรรค์
เก้าเลี้ยว,นครสวรรค์
โกรกพระ,นครสวรรค์
ลาดยาว,นครสวรรค์
แม่เปิน,นครสวรรค์
แม่วงก์,นครสวรรค์
เมืองนครสวรรค์,นครสวรรค์
หนองบัว,นครสวรรค์
ไพศาลี,นครสวรรค์
พยุหะคีรี,นครสวรรค์
ตากฟ้า,นครสวรรค์
ตาคลี,นครสวรรค์
ท่าตะโก,นครสวรรค์
บางขัน,นครศรีธรรมราช
ชะอวด,นครศรีธรรมราช
เฉลิมพระเกียรติ,นครศรีธรรมราช
ช้างกลาง,นครศรีธรรมราช
ฉวาง,นครศรีธรรมราช
เชียรใหญ่,นครศรีธรรมราช
จุฬาภรณ์,นครศรีธรรมราช
หัวไทร,นครศรีธรรมราช
ขนอม,นครศรีธรรมราช
ลานสกา,นครศรีธรรมราช
เมืองนครศรีธรรมราช,นครศรีธรรมราช
นาบอน,นครศรีธรรมราช
นบพิตำ,นครศรีธรรมราช
ปากพนัง,นครศรีธรรมราช
พิปูน,นครศรีธรรมราช
พระพรหม,นครศรีธรรมราช
พรหมคีรี,นครศรีธรรมราช
ร่อนพิบูลย์,นครศรีธรรมราช
สิชล,นครศรีธรรมราช
ท่าศาลา,นครศรีธรรมราช
ถ้ำพรรณรา,นครศรีธรรมราช
ทุ่งสง,นครศรีธรรมราช
ทุ่งใหญ่,นครศรีธรรมราช
บ้านหลวง,น่าน
บ่อเกลือ,น่าน
เฉลิมพระเกียรติ,น่าน
เชียงกลาง,น่าน
แม่จริม,น่าน
เมืองน่าน,น่าน
นาหมื่น,น่าน
นาน้อย,น่าน
ภูเพียง,น่าน
ปัว,น่าน
สันติสุข,น่าน
สองแคว,น่าน
ท่าวังผา,น่าน
ทุ่งช้าง,น่าน
เวียงสา,น่าน
บาเจาะ,นราธิวาส
จะแนะ,นราธิวาส
เจาะไอร้อง,นราธิวาส
เมืองนราธิวาส,นราธิวาส
ระแงะ,นราธิวาส
รือเสาะ,นราธิวาส
ศรีสาคร,นราธิวาส
สุไหงโก-ลก,นราธิวาส
สุไหงปาดี,นราธิวาส
สุคิริน,นราธิวาส
ตากใบ,นราธิวาส
แว้ง,นราธิวาส
ยี่งอ,นราธิวาส
เมืองหนองบัวลำภู,หนองบัวลำภู
นากลาง,หนองบัวลำภู
นาวัง,หนองบัวลำภู
โนนสัง,หนองบัวลำภู
ศรีบุญเรือง,หนองบัวลำภู
สุวรรณคูหา,หนองบัวลำภู
เฝ้าไร่,หนองคาย
เมืองหนองคาย,หนองคาย
โพธิ์ตาก,หนองคาย
โพนพิสัย,หนองคาย
รัตนวาปี,หนองคาย
สระใคร,หนองคาย
สังคม,หนองคาย
ศรีเชียงใหม่,หนองคาย
ท่าบ่อ,หนองคาย
บางบัวทอง,นนทบุรี
บางกรวย,นนทบุรี
บางใหญ่,นนทบุรี
เมืองนนทบุรี,นนทบุรี
ปากเกร็ด,นนทบุรี
ไทรน้อย,นนทบุรี
คลองหลวง,ปทุมธานี
ลำลูกกา,ปทุมธานี
ลาดหลุมแก้ว,ปทุมธานี
เมืองปทุมธานี,ปทุมธานี
หนองเสือ,ปทุมธานี
สามโคก,ปทุมธานี
ธัญบุรี,ปทุมธานี
กะพ้อ,ปัตตานี
โคกโพธิ์,ปัตตานี
แม่ลาน,ปัตตานี
ไม้แก่น,ปัตตานี
มายอ,ปัตตานี
เมืองปัตตานี,ปัตตานี
หนองจิก,ปัตตานี
ปะนาเระ,ปัตตานี
สายบุรี,ปัตตานี
ทุ่งยางแดง,ปัตตานี
ยะรัง,ปัตตานี
ยะหริ่ง,ปัตตานี
กะปง,พังงา
คุระบุรี,พังงา
เกาะยาว,พังงา
เมืองพังงา,พังงา
ตะกั่วป่า,พังงา
ตะกั่วทุ่ง,พังงา
ท้ายเหมือง,พังงา
ทับปุด,พังงา
บางแก้ว,พัทลุง
เขาชัยสน,พัทลุง
ควนขนุน,พัทลุง
กงหรา,พัทลุง
เมืองพัทลุง,พัทลุง
ป่าบอน,พัทลุง
ป่าพะยอม,พัทลุง
ปากพะยูน,พัทลุง
ศรีบรรพต,พัทลุง
ศรีนครินทร์,พัทลุง
ตะโหมด,พัทลุง
เชียงคำ,พะเยา
เชียงม่วน,พะเยา
จุน,พะเยา
ดอกคำใต้,พะเยา
แม่ใจ,พะเยา
เมืองพะเยา,พะเยา
ภูกามยาว,พะเยา
ภูซาง,พะเยา
ปง,พะเยา
บึงสามพัน,เพชรบูรณ์
ชนแดน,เพชรบูรณ์
เขาค้อ,เพชรบูรณ์
หล่มเก่า,เพชรบูรณ์
หล่มสัก,เพชรบูรณ์
เมืองเพชรบูรณ์,เพชรบูรณ์
น้ำหนาว,เพชรบูรณ์
หนองไผ่,เพชรบูรณ์
ศรีเทพ,เพชรบูรณ์
วังโป่ง,เพชรบูรณ์
วิเชียรบุรี,เพชรบูรณ์
บ้านแหลม,เพชรบุรี
บ้านลาด,เพชรบุรี
ชะอำ,เพชรบุรี
แก่งกระจาน,เพชรบุรี
เขาย้อย,เพชรบุรี
เมืองเพชรบุรี,เพชรบุรี
หนองหญ้าปล้อง,เพชรบุรี
ท่ายาง,เพชรบุรี
บางมูลนาก,พิจิตร
บึงนาราง,พิจิตร
ดงเจริญ,พิจิตร
เมืองอุทัยธานี,พิจิตร
โพธิ์ประทับช้าง,พิจิตร
โพทะเล,พิจิตร
สากเหล็ก,พิจิตร
สามง่าม,พิจิตร
ตะพานหิน,พิจิตร
ทับคล้อ,พิจิตร
วชิรบารมี,พิจิตร
วังทรายพูน,พิจิตร
บางกระทุ่ม,พิษณุโลก
บางระกำ,พิษณุโลก
ชาติตระการ,พิษณุโลก
เมืองพิษณุโลก,พิษณุโลก
นครไทย,พิษณุโลก
เนินมะปราง,พิษณุโลก
พรหมพิราม,พิษณุโลก
วังทอง,พิษณุโลก
วัดโบสถ์,พิษณุโลก
เด่นชัย,แพร่
ลอง,แพร่
เมืองแพร่,แพร่
หนองม่วงไข่,แพร่
ร้องกวาง,แพร่
สอง,แพร่
สูงเม่น,แพร่
วังชิ้น,แพร่
กะทู้,ภูเก็ต
เมืองภูเก็ต,ภูเก็ต
ถลาง,ภูเก็ต
บ้านสร้าง,ปราจีนบุรี
กบินทร์บุรี,ปราจีนบุรี
เมืองปราจีนบุรี,ปราจีนบุรี
นาดี,ปราจีนบุรี
ประจันตคาม,ปราจีนบุรี
ศรีมหาโพธิ,ปราจีนบุรี
ศรีมโหสถ,ปราจีนบุรี
บางสะพาน,ประจวบคีรีขันธ์
บางสะพานน้อย,ประจวบคีรีขันธ์
หัวหิน,ประจวบคีรีขันธ์
กุยบุรี,ประจวบคีรีขันธ์
เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์
ปราณบุรี,ประจวบคีรีขันธ์
สามร้อยยอด,ประจวบคีรีขันธ์
ทับสะแก,ประจวบคีรีขันธ์
กะเปอร์,ระนอง
กระบุรี,ระนอง
ละอุ่น,ระนอง
เมืองระนอง,ระนอง
สุขสำราญ,ระนอง
บ้านคา,ราชบุรี
บ้านโป่ง,ราชบุรี
บางแพ,ราชบุรี
จอมบึง,ราชบุรี
ดำเนินสะดวก,ราชบุรี
เมืองราชบุรี,ราชบุรี
ปากท่อ,ราชบุรี
โพธาราม,ราชบุรี
สวนผึ้ง,ราชบุรี
วัดเพลง,ราชบุรี
บ้านฉาง,ระยอง
บ้านค่าย,ระยอง
เขาชะเมา,ระยอง
แกลง,ระยอง
เมืองระยอง,ระยอง
นิคมพัฒนา,ระยอง
ปลวกแดง,ระยอง
วังจันทร์,ระยอง
อาจสามารถ,ร้อยเอ็ด
จังหาร,ร้อยเอ็ด
จตุรพักตรพิมาน,ร้อยเอ็ด
เชียงขวัญ,ร้อยเอ็ด
เกษตรวิสัย,ร้อยเอ็ด
เมยวดี,ร้อยเอ็ด
เมืองร้อยเอ็ด,ร้อยเอ็ด
เมืองสรวง,ร้อยเอ็ด
หนองฮี,ร้อยเอ็ด
หนองพอก,ร้อยเอ็ด
ปทุมรัตต์,ร้อยเอ็ด
พนมไพร,ร้อยเอ็ด
โพธิ์ชัย,ร้อยเอ็ด
โพนทราย,ร้อยเอ็ด
โพนทอง,ร้อยเอ็ด
เสลภูมิ,ร้อยเอ็ด
ศรีสมเด็จ,ร้อยเอ็ด
สุวรรณภูมิ,ร้อยเอ็ด
ธวัชบุรี,ร้อยเอ็ด
ทุ่งเขาหลวง,ร้อยเอ็ด
อรัญประเทศ,สระแก้ว
เขาฉกรรจ์,สระแก้ว
คลองหาด,สระแก้ว
โคกสูง,สระแก้ว
เมืองสระแก้ว,สระแก้ว
ตาพระยา,สระแก้ว
วังน้ำเย็น,สระแก้ว
วังสมบูรณ์,สระแก้ว
วัฒนานคร,สระแก้ว
อากาศอำนวย,สกลนคร
บ้านม่วง,สกลนคร
เจริญศิลป์,สกลนคร
คำตากล้า,สกลนคร
โคกศรีสุพรรณ,สกลนคร
กุสุมาลย์,สกลนคร
กุดบาก,สกลนคร
เมืองสกลนคร,สกลนคร
นิคมน้ำอูน,สกลนคร
พังโคน,สกลนคร
พรรณนานิคม,สกลนคร
โพนนาแก้ว,สกลนคร
ภูพาน,สกลนคร
สว่างแดนดิน,สกลนคร
ส่องดาว,สกลนคร
เต่างอย,สกลนคร
วานรนิวาส,สกลนคร
วาริชภูมิ,สกลนคร
บางบ่อ,สมุทรปราการ
บางพลี,สมุทรปราการ
บางเสาธง,สมุทรปราการ
เมืองสมุทรปราการ,สมุทรปราการ
พระประแดง,สมุทรปราการ
พระสมุทรเจดีย์,สมุทรปราการ
บ้านแพ้ว,สมุทรสาคร
กระทุ่มแบน,สมุทรสาคร
เมืองสมุทรสาคร,สมุทรสาคร
อัมพวา,สมุทรสงคราม
บางคนที,สมุทรสงคราม
เมืองสมุทรสงคราม,สมุทรสงคราม
บ้านหมอ,สระบุรี
เฉลิมพระเกียรติ,สระบุรี
ดอนพุด,สระบุรี
แก่งคอย,สระบุรี
มวกเหล็ก,สระบุรี
เมืองสระบุรี,สระบุรี
หนองโดน,สระบุรี
หนองแค,สระบุรี
หนองแซง,สระบุรี
พระพุทธบาท,สระบุรี
เสาไห้,สระบุรี
วังม่วง,สระบุรี
วิหารแดง,สระบุรี
ควนโดน,สตูล
ควนกาหลง,สตูล
ละงู,สตูล
มะนัง,สตูล
เมืองสตูล,สตูล
ท่าแพ,สตูล
ทุ่งหว้า,สตูล
บางระจัน,สิงห์บุรี
อินทร์บุรี,สิงห์บุรี
ค่ายบางระจัน,สิงห์บุรี
เมืองสิงห์บุรี,สิงห์บุรี
พรหมบุรี,สิงห์บุรี
ท่าช้าง,สิงห์บุรี
เบญจลักษ์,ศรีสะเกษ
บึงบูรพ์,ศรีสะเกษ
ห้วยทับทัน,ศรีสะเกษ
กันทรลักษ์,ศรีสะเกษ
กันทรารมย์,ศรีสะเกษ
ขุขันธ์,ศรีสะเกษ
ขุนหาญ,ศรีสะเกษ
เมืองจันทร์,ศรีสะเกษ
เมืองศรีสะเกษ,ศรีสะเกษ
น้ำเกลี้ยง,ศรีสะเกษ
โนนคูน,ศรีสะเกษ
พยุห์,ศรีสะเกษ
โพธิ์ศรีสุวรรณ,ศรีสะเกษ
ไพรบึง,ศรีสะเกษ
ภูสิงห์,ศรีสะเกษ
ปรางค์กู่,ศรีสะเกษ
ราษีไศล,ศรีสะเกษ
ศรีรัตนะ,ศรีสะเกษ
ศิลาลาด,ศรีสะเกษ
อุทุมพรพิสัย,ศรีสะเกษ
วังหิน,ศรีสะเกษ
ยางชุมน้อย,ศรีสะเกษ
บางกล่ำ,สงขลา
จะนะ,สงขลา
หาดใหญ่,สงขลา
คลองหอยโข่ง,สงขลา
ควนเนียง,สงขลา
กระแสสินธุ์,สงขลา
เมืองสงขลา,สงขลา
นาหม่อม,สงขลา
นาทวี,สงขลา
ระโนด,สงขลา
รัตภูมิ,สงขลา
สะบ้าย้อย,สงขลา
สะเดา,สงขลา
สทิงพระ,สงขลา
สิงหนคร,สงขลา
เทพา,สงขลา
บ้านด่านลานหอย,สุโขทัย
คีรีมาศ,สุโขทัย
กงไกรลาศ,สุโขทัย
เมืองสุโขทัย,สุโขทัย
สวรรคโลก,สุโขทัย
ศรีนคร,สุโขทัย
ศรีสำโรง,สุโขทัย
ศรีสัชนาลัย,สุโขทัย
ทุ่งเสลี่ยม,สุโขทัย
บางปลาม้า,สุพรรณบุรี
ด่านช้าง,สุพรรณบุรี
เดิมบางนางบวช,สุพรรณบุรี
ดอนเจดีย์,สุพรรณบุรี
เมืองสุพรรณบุรี,สุพรรณบุรี
หนองหญ้าไซ,สุพรรณบุรี
สามชุก,สุพรรณบุรี
ศรีประจันต์,สุพรรณบุรี
สองพี่น้อง,สุพรรณบุรี
อู่ทอง,สุพรรณบุรี
บ้านนาเดิม,สุราษฎร์ธานี
บ้านนาสาร,สุราษฎร์ธานี
บ้านตาขุน,สุราษฎร์ธานี
ชัยบุรี,สุราษฎร์ธานี
ไชยา,สุราษฎร์ธานี
ดอนสัก,สุราษฎร์ธานี
กาญจนดิษฐ์,สุราษฎร์ธานี
เคียนซา,สุราษฎร์ธานี
คีรีรัฐนิคม,สุราษฎร์ธานี
เกาะพะงัน,สุราษฎร์ธานี
เกาะสมุย,สุราษฎร์ธานี
เมืองสุราษฎร์ธานี,สุราษฎร์ธานี
พนม,สุราษฎร์ธานี
พระแสง,สุราษฎร์ธานี
พุนพิน,สุราษฎร์ธานี
ท่าชนะ,สุราษฎร์ธานี
ท่าฉาง,สุราษฎร์ธานี
วิภาวดี,สุราษฎร์ธานี
เวียงสระ,สุราษฎร์ธานี
บัวเชด,สุรินทร์
จอมพระ,สุรินทร์
ชุมพลบุรี,สุรินทร์
กาบเชิง,สุรินทร์
เขวาสินรินทร์,สุรินทร์
ลำดวน,สุรินทร์
เมืองสุรินทร์,สุรินทร์
โนนนารายณ์,สุรินทร์
พนมดงรัก,สุรินทร์
ปราสาท,สุรินทร์
รัตนบุรี,สุรินทร์
สำโรงทาบ,สุรินทร์
สังขะ,สุรินทร์
สนม,สุรินทร์
ศรีณรงค์,สุรินทร์
ศีขรภูมิ,สุรินทร์
ท่าตูม,สุรินทร์
บ้านตาก,ตาก
แม่ระมาด,ตาก
แม่สอด,ตาก
เมืองตาก,ตาก
พบพระ,ตาก
สามเงา,ตาก
ท่าสองยาง,ตาก
อุ้มผาง,ตาก
วังเจ้า,ตาก
หาดสำราญ,ตรัง
ห้วยยอด,ตรัง
กันตัง,ตรัง
เมืองตรัง,ตรัง
นาโยง,ตรัง
